person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49
5puzl,4.364876,-2.5905595,-6.6439366,0.44920233,4.31908,-0.24595559,-2.0124633,0.52360606,0.7482603,2.7393343,-0.589181,-2.935694,-1.9907659,1.2999146,3.578385,0.70080924,1.3109448,-2.1010857,-0.87590474,-1.4004314,-1.5589087,-1.3421115,-0.72863775,-1.0209256,1.3291373,0.8060453,0.9140849,-0.12808968,0.46830308,0.041960705,-0.8324712,0.19225983,1.0038728,0.43192154,0.39315346,2.5402088,0.43432546,-0.46447977,-1.978712,-1.1662443,0.96360093,-0.44050148,1.6393542,0.060499348,-0.7532998,0.82748306,-1.8884298,0.5134391,-0.4698341,0.30287266
6qe7v,1.2853318,-2.686918,-1.1112146,-0.564845,-0.32035124,-0.22691664,1.5617319,0.30203265,1.3333299,-2.2846801,-2.0833373,-3.191236,1.9216273,-1.8619636,0.43477988,-1.2748631,0.009604732,1.1456133,0.57338566,0.31116062,-1.6554221,1.7740968,-0.53543305,0.13069424,-2.4303389,-2.906338,-0.40421745,0.49323073,-0.05598833,0.11033825,0.9499576,0.5255636,-0.29786208,-0.009549971,-1.615961,-0.11890604,1.4348943,0.10872245,0.15737347,1.9506805,2.2060912,0.00922021,1.0946729,-0.85830164,1.420205,0.8835862,0.36461318,-0.39641127,1.4561596,-0.06217673
6rxfs,-14.098338,-0.64475006,-2.0202887,-6.2094073,2.4373062,-3.531236,2.6394956,4.5742064,1.5251948,2.9823554,4.4320836,1.1755769,1.6629078,2.6018958,-0.46276063,-0.8596419,2.4258447,0.20279273,0.71318555,0.2801956,-0.5864381,-0.982099,-0.36694354,-2.1057575,0.7741478,0.6781164,-1.0541741,-2.1609962,0.2489601,0.6009835,-0.23207311,1.1337962,0.841529,0.100176014,0.6552901,0.7065578,-0.63898987,0.08986784,-0.75083315,2.2525969,0.31668758,-0.6140865,-0.15370557,0.17068133,1.1255517,-1.9465591,-0.13413776,0.64074206,0.85295826,0.16126737
70l1y,-3.1721082,5.5961094,-0.53022474,6.6520543,3.4300568,-4.3603764,-3.4680507,-2.0905955,-1.7202747,-1.6441177,0.37473553,4.174845,2.1981165,1.6556298,0.47205558,-1.9767398,-0.06331423,-2.0774665,1.5847986,2.1963997,-1.2660673,-2.8149722,-1.6404893,3.7467458,-1.0246867,-3.130475,-2.5426986,-1.7900401,-0.26623783,-1.3963659,-3.4186642,0.83831054,-2.8356845,-0.80131423,0.8935839,-1.5949323,0.19081266,1.8397558,1.6539917,-0.81741184,0.9773128,0.6754356,0.7835258,0.8203911,-2.4152915,0.39694265,-2.2511091,0.49424416,-0.16249487,0.4983124
76ux4,5.2916327,-1.5051309,-1.8104391,0.61409897,1.4023008,1.9797529,-0.15929335,1.1281432,2.6485538,-0.78666747,1.5838776,-4.401646,-2.9926076,2.429058,-2.2039936,2.4197085,1.047051,1.4649026,-3.157157,-1.4323903,1.2443349,2.5575573,-4.154063,1.7652901,-0.28758594,-1.2395893,-2.4562273,-0.903257,-1.037108,0.63206005,-0.33831662,-0.78259873,0.9075166,-1.6413537,1.2079797,-1.9141427,0.7467852,0.52034795,2.188503,1.0465223,-0.62012476,0.60430664,-1.4937553,-0.40886882,-1.3801973,-1.1786594,-2.7009706,-0.21608455,0.7656968,0.789854
7e5rr,0.9340309,-3.3343809,2.1089828,0.87281024,1.8832848,1.9496926,-3.9400167,0.1294154,-2.9749906,-3.3834023,-0.06992162,-2.061953,0.16592892,-0.9430633,-0.77580017,-2.5807846,1.8478379,-1.1249386,0.052308414,-0.3083907,-0.37986746,1.4659549,0.6547076,-0.3508647,-3.683434,1.5826348,-0.013504988,0.5180003,-1.5766451,1.7391872,-1.6594533,-1.5565886,0.8097609,-0.18738428,-0.15953022,0.71280146,-2.4433405,-0.97842485,0.23132777,1.304146,0.74247926,-1.4635378,-1.1367768,-0.20648363,-1.1368338,0.27120847,2.2574565,-1.1739696,-1.8256661,-1.7848105
7ftdk,0.06993103,-3.5901213,1.8633503,1.212413,-3.8966188,2.4782245,0.9865113,-1.7670608,3.3824356,-0.08637729,0.46413442,-2.623603,1.401122,-0.3213208,3.9902298,0.61736804,-2.7223966,1.0096933,-2.4781675,1.344679,-2.4402497,0.8942394,-1.1661507,-3.566732,-1.9684985,-1.2188635,-0.83862,-1.6973222,-3.692455,-0.9470501,-0.8097512,0.727371,-2.5299697,3.2444603,-0.68143904,-1.0177615,2.0297909,-0.65530586,1.0575353,-1.1828957,1.4245392,1.3723897,-0.81460196,-0.04905796,1.4224876,-0.11762446,-1.9191594,-1.5325863,0.93789476,-0.64382076
7ge54,-3.1118476,-2.9489186,-5.1142244,-1.4959615,2.5004246,-1.5628211,1.6513858,0.69261336,-2.4357545,2.6259205,-0.7773127,1.2300285,-1.0481154,0.91559124,0.6759105,-1.0604801,0.42259297,1.715102,-0.09301363,1.7656591,-0.7346818,-1.2393091,1.5097288,-0.7552868,-2.1832888,0.114739254,-0.526125,0.52738255,0.66773456,0.51779383,1.1549728,-0.27131844,-0.5229785,-0.012314903,0.4591419,0.7686889,1.2335619,-1.3649905,-0.08235717,-0.89733344,-0.25424284,0.66671634,1.7400168,-0.20872581,0.19525637,1.0652087,-0.1176187,0.025512412,-0.8469882,-1.0283804
7hiu4,-3.1202476,3.8127725,-2.876778,2.1507733,-2.9952743,-3.554406,-2.326361,-1.8682545,1.1201472,-2.6927798,-0.9886305,-2.054683,6.408055,-3.752615,0.54136133,2.6593983,1.0059007,4.1852765,0.17578979,-0.5486155,-4.25799,-1.171447,-3.1520376,-0.81158113,0.73623824,2.1961215,0.22608933,2.8167734,2.640661,3.0630713,-0.7845409,-1.9121233,-1.8188967,-1.4859427,0.08438501,0.46805847,-0.22493672,-2.6390922,0.13063197,-1.9242864,-1.3669454,2.0045166,0.4765139,0.25648904,-0.845804,1.4740686,0.49455115,1.195167,-0.9066712,1.5184271
7k50n,-5.2985687,0.83175373,-7.3394017,3.563371,4.162433,0.05407587,0.92897385,-2.3644078,-1.529851,-1.4175651,0.15961255,-0.16937101,0.20404191,1.9183166,-0.81993717,-3.1733913,0.14865379,1.7932332,0.027586687,-1.0139147,-0.17458682,2.8097637,-1.0429783,-1.8018479,0.14978975,0.5264768,-2.4258883,-2.4523385,-1.5426097,-0.2009874,0.3873451,1.2429229,1.0796758,-0.3985102,1.6144407,-0.5362239,-0.42331523,0.7249467,1.4445477,-0.5154234,-0.20313329,-0.10508455,-0.98871255,-1.800031,-0.85153747,-0.91839814,2.499932,1.0079901,-1.0762775,1.4457916
